,_month_,year,oil_companies_,quantity_000_metric_tonnes_
834,July,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2564.65
835,July,2023,"NEL-VADINAR,GUJARAT",1717.65
836,August,2023,"IOCL-HALDIA, WEST BENGAL",689.55
837,August,2023,"IOCL-MATHURA, UTTAR PRADESH",680.98
838,August,2023,"IOCL-DIGBOI,ASSAM",19.81
839,August,2023,"MRPL-MANGALORE,KARNATAKA",990.47
840,August,2023,ONGC TOTAL,995.50
841,August,2023,"HPCL-VISAKH,ANDHRA PRADESH",1104.99
842,August,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2538.72
843,August,2023,GRAND TOTAL,21924.43
844,September,2023,IOCL TOTAL,5506.27
845,September,2023,"BPCL-MUMBAI, MAHARASHTRA",1354.53
846,September,2023,BORL-BINA,680.20
847,September,2023,"RIL,JAMNAGAR,GUJARAT",2807.15
848,September,2023,RIL TOTAL,4793.84
849,September,2023,"NEL-VADINAR,GUJARAT",1666.73
850,October,2023,"IOCL-KOYALI, GUJARAT",1279.38
851,October,2023,"IOCL-MATHURA, UTTAR PRADESH",852.62
852,October,2023,"IOCL-GUWAHATI,ASSAM",0.14
853,October,2023,"IOCL-DIGBOI,ASSAM",66.20
854,October,2023,IOCL TOTAL,5656.35
855,October,2023,"MRPL-MANGALORE,KARNATAKA",1354.58
856,November,2023,"IOCL-HALDIA, WEST BENGAL",692.39
857,November,2023,"CPCL-MANALI, TAMILNADU",1001.04
858,November,2023,"BPCL-MUMBAI, MAHARASHTRA",927.63
859,November,2023,"BPCL-KOCHI, KERALA",1506.98
860,November,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2216.79
861,December,2023,"IOCL-BARAUNI,BIHAR",597.97
862,December,2023,"IOCL-KOYALI, GUJARAT",1330.24
863,December,2023,"IOCL-HALDIA, WEST BENGAL",726.88
864,December,2023,"IOCL-PANIPAT, HARYANA",1246.48
865,December,2023,CPCL-TOTAL,820.50
866,December,2023,GRAND TOTAL,22686.73
867,January,2024,"IOCL-HALDIA, WEST BENGAL",742.02
868,January,2024,"IOCL-DIGBOI,ASSAM",68.88
869,January,2024,BORL-BINA,731.36
870,January,2024,RIL TOTAL,5582.72
871,February,2024,IOCL TOTAL,5630.93
872,February,2024,"CPCL-MANALI, TAMILNADU",1013.93
873,February,2024,"ONGC-TATIPAKA,ANDHRA PRADESH",5.64
874,February,2024,"MRPL-MANGALORE,KARNATAKA",1462.33
875,February,2024,ONGC TOTAL,1467.97
876,February,2024,"RIL-(SEZ), JAMNAGAR,GUJARAT",2192.13
877,March,2024,"IOCL-BARAUNI,BIHAR",605.82
878,March,2024,"IOCL-BONGAIGAON,ASSAM",252.98
879,March,2024,IOCL TOTAL,6558.95
880,March,2024,"BPCL-KOCHI, KERALA",1556.77
881,March,2024,BORL-BINA,631.74
882,March,2024,"HPCL-MUMBAI,MAHARASHTRA",544.61
883,March,2024,"HPCL-VISAKH,ANDHRA PRADESH",1322.52
884,March,2024,RIL TOTAL,5578.73
885,March,2024,GRAND TOTAL,23372.10
886,April,2022,"IOCL-KOYALI, GUJARAT",1317.97
887,April,2022,"IOCL-PARADIP,ODISHA",1327.97
888,April,2022,IOCL TOTAL,6237.26
889,April,2022,BORL-BINA,684.49
890,April,2022,"RIL,JAMNAGAR,GUJARAT",3034.27
891,April,2022,GRAND TOTAL,21579.61
892,May,2022,"IOCL-BARAUNI,BIHAR",584.47
893,May,2022,"IOCL-KOYALI, GUJARAT",1358.94
894,May,2022,"IOCL-GUWAHATI,ASSAM",93.84
895,May,2022,"IOCL-DIGBOI,ASSAM",62.26
896,May,2022,"BPCL-MUMBAI, MAHARASHTRA",1256.55
897,May,2022,BORL-BINA,675.73
898,May,2022,BPCL-TOTAL,3364.13
899,May,2022,"MRPL-MANGALORE,KARNATAKA",1415.20
900,May,2022,"HPCL-VISAKH,ANDHRA PRADESH",802.67
901,May,2022,GRAND TOTAL,22643.90
902,June,2022,CPCL-TOTAL,972.61
903,June,2022,"BPCL-MUMBAI, MAHARASHTRA",881.71
904,June,2022,"HPCL-VISAKH,ANDHRA PRADESH",781.84
905,June,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2408.11
906,July,2022,"IOCL-HALDIA, WEST BENGAL",722.08
907,July,2022,"IOCL-GUWAHATI,ASSAM",93.18
908,July,2022,CPCL-TOTAL,975.07
909,July,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",4.98
910,July,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2549.47
911,July,2022,RIL TOTAL,5482.43
912,August,2022,"IOCL-BARAUNI,BIHAR",590.38
913,August,2022,"IOCL-KOYALI, GUJARAT",1277.89
914,August,2022,"IOCL-MATHURA, UTTAR PRADESH",649.60
915,August,2022,"IOCL-DIGBOI,ASSAM",61.16
916,August,2022,IOCL TOTAL,4836.86
917,August,2022,"BPCL-MUMBAI, MAHARASHTRA",1246.63
918,August,2022,"NRL-NUMALIGARH, ASSAM",264.33
919,August,2022,ONGC TOTAL,1186.14
920,September,2022,"IOCL-GUWAHATI,ASSAM",86.65
921,September,2022,"IOCL-PARADIP,ODISHA",274.67
922,September,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.82
923,September,2022,"HPCL-MUMBAI,MAHARASHTRA",786.46
924,September,2022,"HMEL-GGSR, BATHINDA, PUNJAB",932.59
925,September,2022,HPCL-TOTAL,2533.10
926,September,2022,"RIL,JAMNAGAR,GUJARAT",2784.11
927,September,2022,"NEL-VADINAR,GUJARAT",1692.16
928,October,2022,"IOCL-BARAUNI,BIHAR",568.94
929,October,2022,"IOCL-PANIPAT, HARYANA",1184.84
930,October,2022,"IOCL-GUWAHATI,ASSAM",93.19
931,October,2022,"CPCL-MANALI, TAMILNADU",723.13
932,October,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1114.49
933,November,2022,"IOCL-BARAUNI,BIHAR",573.35
934,November,2022,"IOCL-MATHURA, UTTAR PRADESH",836.84
935,November,2022,"BPCL-MUMBAI, MAHARASHTRA",1216.45
936,November,2022,"BPCL-KOCHI, KERALA",1380.82
937,November,2022,BORL-BINA,691.93
938,November,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2677.79
939,December,2022,"IOCL-DIGBOI,ASSAM",61.96
940,December,2022,CPCL-TOTAL,960.42
941,December,2022,"BPCL-MUMBAI, MAHARASHTRA",1344.11
942,December,2022,BORL-BINA,712.61
943,December,2022,"MRPL-MANGALORE,KARNATAKA",1504.05
944,January,2023,"IOCL-MATHURA, UTTAR PRADESH",805.76
945,January,2023,"IOCL-PANIPAT, HARYANA",1334.66
946,January,2023,IOCL TOTAL,6541.94
947,January,2023,"BPCL-KOCHI, KERALA",1533.08
948,January,2023,BPCL-TOTAL,3601.99
949,January,2023,"HPCL-MUMBAI,MAHARASHTRA",837.69
950,January,2023,HPCL-TOTAL,2777.96
951,February,2023,"IOCL-KOYALI, GUJARAT",1212.84
952,February,2023,"IOCL-HALDIA, WEST BENGAL",665.21
953,February,2023,IOCL TOTAL,5938.40
954,February,2023,"MRPL-MANGALORE,KARNATAKA",1392.99
955,February,2023,"HPCL-MUMBAI,MAHARASHTRA",803.65
956,February,2023,"HPCL-VISAKH,ANDHRA PRADESH",745.84
957,February,2023,HPCL-TOTAL,2557.50
958,February,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2280.04
959,February,2023,RIL TOTAL,4855.94
960,March,2023,"IOCL-KOYALI, GUJARAT",1346.06
961,March,2023,"IOCL-MATHURA, UTTAR PRADESH",897.88
962,March,2023,"IOCL-PANIPAT, HARYANA",1297.96
963,March,2023,"BPCL-MUMBAI, MAHARASHTRA",1358.27
964,March,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",4.94
965,March,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1110.38
